entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-01,2025-07-03,bull,9.0,0.05000000000000002,25250,25000,241.0,371.25,target,0.37125,371.25
2025-07-08,2025-07-10,bull,10.850000000000001,0.25,25250,24950,289.15,495.0000000000001,target,0.4950000000000001,866.2500000000001
2025-08-05,2025-08-06,bear,3.15,0.9000000000000001,25100,25350,246.85,-131.25,target,-0.13125,735.0000000000001
2025-08-12,2025-08-14,bear,3.7,0.04999999999999999,24900,25150,246.3,-26.25,target,-0.02625,708.7500000000001
2025-08-29,2025-09-01,bull,12.6,1.2,24200,23950,237.4,555.0,target,0.555,1263.75
2025-09-05,2025-09-08,bull,7.500000000000001,2.9499999999999997,24450,24250,192.5,41.25000000000006,target,0.04125000000000006,1305.0
2025-10-03,2025-10-06,bull,9.450000000000001,1.15,24650,24400,240.55,322.5,target,0.3225,1627.5
2025-10-31,2025-11-03,bear,4.950000000000001,1.0,26300,26550,245.05,-3.749999999999943,target,-0.0037499999999999435,1623.75
2025-11-07,2025-11-11,bear,3.0,0.05,25950,26250,297.0,-78.75,target,-0.07875,1545.0
2025-11-14,2025-11-17,bear,6.1,1.6,26350,26600,243.9,37.5,target,0.0375,1582.5
2025-12-12,2025-12-16,bull,5.700000000000001,0.0,25750,25500,244.3,127.50000000000006,target,0.12750000000000006,1710.0
2026-01-09,2026-01-13,bear,4.6,0.0,26200,26450,245.4,45.0,target,0.045,1755.0
2026-01-30,2026-02-02,bear,27.450000000000003,0.6500000000000001,25800,26050,222.55,1710.0000000000002,target,1.71,3465.0
2026-02-06,2026-02-09,bull,9.8,2.6999999999999993,25350,25100,240.2,232.5000000000001,target,0.23250000000000012,3697.5
2026-02-13,2026-02-17,bear,9.5,0.04999999999999999,25900,26150,240.5,408.75,target,0.40875,4106.25
2026-02-26,2026-02-27,bull,22.45,77.4,25250,25000,227.55,-4421.25,stop_loss,-4.421250000000001,-315.0
2026-03-06,2026-03-09,bear,35.900000000000006,4.85,24900,25150,214.1,2028.7500000000005,target,2.0287500000000005,1713.7500000000005
2026-03-13,2026-03-17,bear,45.60000000000001,0.0,23550,23800,204.39999999999998,3120.0000000000005,expiry,3.1200000000000006,4833.750000000001
2026-03-20,2026-03-23,bull,51.7,153.35000000000002,22800,22550,198.3,-7923.750000000002,stop_loss,-7.923750000000002,-3090.000000000001
2026-04-02,2026-04-07,bear,53.7,21.15,23100,23350,196.3,2141.2500000000005,target,2.1412500000000003,-948.7500000000005
2026-04-30,2026-05-05,bear,29.2,0.05,24450,24700,220.8,1886.25,target,1.88625,937.4999999999995
2026-05-08,2026-05-11,bear,20.85,1.5,24600,24850,229.15,1151.25,target,1.15125,2088.7499999999995
2026-05-29,2026-06-01,bear,20.749999999999996,2.0500000000000003,24100,24350,229.25,1102.4999999999998,target,1.1024999999999998,3191.249999999999
