entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-17,2025-06-18,21.55,13.95,24500,24250,25250,25500,228.45,-29.999999999999886,target,-0.029999999999999888,-29.999999999999886
2025-06-24,2025-06-26,20.5,99.6,24700,24450,25450,25700,229.5,-6532.500000000001,stop_loss,-6.532500000000001,-6562.500000000001
2025-07-01,2025-07-03,11.7,0.1,25250,25000,26050,26300,238.3,270.0,target,0.27,-6292.500000000001
2025-07-08,2025-07-10,14.35,0.25,25250,24950,26000,26250,285.65,457.5,target,0.4575,-5835.000000000001
2025-07-15,2025-07-16,8.8,4.0,24900,24650,25650,25900,241.2,-239.99999999999994,target,-0.23999999999999994,-6075.000000000001
2025-07-22,2025-07-24,5.8,0.1,24700,24450,25450,25700,244.2,-172.49999999999994,target,-0.17249999999999996,-6247.500000000001
2025-07-29,2025-07-30,10.7,5.05,24450,24200,25200,25450,239.3,-176.25000000000006,target,-0.17625000000000007,-6423.750000000001
2025-08-05,2025-08-07,13.75,0.05,24350,24100,25100,25350,236.25,427.5,target,0.4275,-5996.250000000001
2025-08-12,2025-08-13,12.25,5.2,24200,23950,24900,25150,237.75,-71.25,target,-0.07125000000000001,-6067.500000000001
2025-08-19,2025-08-20,6.85,3.0,24650,24400,25400,25650,243.15,-311.25,target,-0.31124999999999997,-6378.750000000001
2025-08-25,2025-08-28,7.05,103.8,24600,24350,25350,25600,242.95,-7856.25,stop_loss,-7.856249999999999,-14235.0
2025-08-29,2025-09-01,15.2,2.45,24200,23950,24950,25200,234.8,356.25,target,0.35625,-13878.75
2025-09-05,2025-09-08,10.15,4.05,24450,24250,25200,25450,239.85,-142.49999999999983,target,-0.14249999999999982,-14021.25
2025-09-12,2025-09-15,9.05,4.85,24850,24550,25600,25850,290.95,-285.0,target,-0.28500000000000003,-14306.25
2025-09-19,2025-09-23,6.75,0.1,25050,24800,25800,26050,243.25,-101.25,target,-0.10124999999999999,-14407.5
2025-09-26,2025-09-29,13.2,3.25,24300,24050,25050,25300,236.8,146.25,target,0.14625,-14261.25
2025-10-03,2025-10-06,10.0,1.95,24650,24400,25400,25650,240.0,3.7500000000002274,target,0.0037500000000002275,-14257.5
2025-10-10,2025-10-14,7.6,0.1,25050,24800,25800,26050,242.4,-37.5,target,-0.0375,-14295.0
2025-10-16,2025-10-17,12.05,6.7,25250,25000,26050,26300,237.95,-198.75,target,-0.19875,-14493.75
2025-10-24,2025-10-28,13.8,0.15,25450,25150,26200,26450,286.2,423.75,target,0.42375,-14070.0
2025-10-31,2025-11-03,14.95,5.85,25500,25250,26300,26550,235.05,82.50000000000011,target,0.08250000000000011,-13987.5
2025-11-07,2025-11-10,11.05,2.75,25200,24950,25950,26250,288.95,22.5,target,0.0225,-13965.0
2025-11-14,2025-11-17,16.55,2.55,25550,25300,26350,26600,233.45,449.9999999999998,target,0.4499999999999998,-13515.0
2025-11-21,2025-11-24,16.35,5.2,25700,25450,26450,26750,283.65,236.2500000000001,target,0.23625000000000013,-13278.75
2025-11-28,2025-12-02,17.1,1.5,26000,25750,26800,27050,232.9,570.0,target,0.5700000000000001,-12708.75
2025-12-05,2025-12-08,10.8,55.05,25950,25650,26750,27000,289.2,-3918.75,stop_loss,-3.91875,-16627.5
2025-12-12,2025-12-15,6.9,3.0,25750,25500,26550,26800,243.1,-307.4999999999999,target,-0.3074999999999999,-16935.0
2025-12-19,2025-12-22,5.8,3.05,25650,25400,26400,26700,294.2,-393.75,target,-0.39375,-17328.75
2025-12-26,2025-12-29,2.6,1.6,25650,25400,26450,26700,247.4,-525.0,target,-0.525,-17853.75
2026-01-02,2026-01-06,6.15,0.05,26050,25800,26850,27100,243.85,-142.49999999999994,target,-0.14249999999999993,-17996.25
2026-01-09,2026-01-12,13.25,4.55,25400,25150,26200,26450,236.75,52.5,target,0.0525,-17943.75
