entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-24,2025-06-25,bull,13.599999999999998,2.3499999999999996,24750,24550,186.4,543.7499999999999,target,0.5437499999999998,543.7499999999999
2025-07-01,2025-07-03,bull,16.5,0.19999999999999998,25350,25150,183.5,922.5,target,0.9225000000000001,1466.25
2025-07-08,2025-07-10,bull,12.7,0.7,25300,25100,187.3,600.0,target,0.6,2066.25
2025-07-15,2025-07-17,bear,5.700000000000001,0.04999999999999999,25550,25750,194.3,123.75000000000011,target,0.12375000000000012,2190.0
2025-07-22,2025-07-24,bear,4.050000000000001,0.04999999999999999,25400,25600,195.95,5.684341886080802e-14,target,5.684341886080802e-17,2190.0
2025-07-29,2025-07-31,bear,8.25,0.04999999999999999,25150,25350,191.75,315.0,target,0.315,2505.0
2025-08-05,2025-08-06,bear,6.3999999999999995,1.75,25000,25200,193.6,48.74999999999994,target,0.048749999999999946,2553.75
2025-08-12,2025-08-14,bear,5.4,0.04999999999999999,24850,25050,194.6,101.25000000000006,target,0.10125000000000006,2655.0
2025-08-19,2025-08-20,bull,9.049999999999999,3.2,24750,24550,190.95,138.7499999999999,target,0.13874999999999987,2793.75
2025-08-25,2025-08-26,bear,5.200000000000001,0.8999999999999999,25300,25500,194.8,22.500000000000057,target,0.022500000000000055,2816.25
2025-08-29,2025-09-02,bear,4.65,0.04999999999999999,24850,25050,195.35,45.00000000000006,target,0.04500000000000006,2861.25
2025-09-05,2025-09-08,bull,14.899999999999999,5.65,24550,24350,185.1,393.7499999999999,target,0.39374999999999993,3255.0
2025-09-12,2025-09-16,bull,9.85,0.0,24900,24700,190.15,438.75,target,0.43875,3693.75
2025-09-19,2025-09-23,bull,7.000000000000001,0.15,25100,24900,193.0,213.75,target,0.21375,3907.5
2025-09-26,2025-09-29,bear,8.9,1.85,25000,25200,191.1,228.75,target,0.22875,4136.25
2025-10-03,2025-10-06,bull,11.399999999999999,1.0499999999999998,24700,24500,188.6,476.2499999999999,target,0.47624999999999984,4612.5
2025-10-10,2025-10-14,bull,9.1,0.15,25100,24900,190.9,371.25,target,0.37125,4983.75
2025-10-16,2025-10-17,bull,14.099999999999998,4.65,25350,25150,185.9,408.7499999999998,target,0.4087499999999997,5392.5
2025-10-24,2025-10-28,bear,12.7,0.09999999999999998,26100,26350,237.3,645.0,target,0.645,6037.5
2025-10-31,2025-11-03,bear,8.149999999999999,1.6999999999999997,26200,26400,191.85,183.74999999999994,target,0.18374999999999994,6221.25
2025-11-07,2025-11-11,bear,3.9000000000000004,0.0,25900,26100,196.1,-7.5,target,-0.0075,6213.75
2025-11-14,2025-11-17,bull,17.1,1.6499999999999995,25650,25450,182.9,858.7500000000002,target,0.8587500000000003,7072.5
2025-11-21,2025-11-25,bull,11.65,0.05000000000000002,25750,25550,188.35,570.0,target,0.5700000000000001,7642.5
2025-11-28,2025-12-02,bull,19.9,0.0,26050,25850,180.1,1192.5,expiry,1.1925,8835.0
2025-12-05,2025-12-08,bull,13.950000000000001,71.2,26000,25800,186.05,-4593.75,stop_loss,-4.59375,4241.25
2025-12-12,2025-12-16,bull,12.8,0.24999999999999997,25850,25600,237.2,641.25,target,0.64125,4882.5
2025-12-19,2025-12-22,bull,6.4,0.75,25700,25500,193.6,123.75,target,0.12375000000000001,5006.25
2025-12-26,2025-12-29,bear,3.55,1.0999999999999999,26350,26600,246.45,-116.25,target,-0.11624999999999999,4890.0
2026-01-02,2026-01-06,bull,12.299999999999999,0.4,26150,25950,187.7,592.4999999999999,target,0.5924999999999999,5482.5
2026-01-09,2026-01-13,bear,6.250000000000001,0.0,26100,26300,193.75,168.75000000000006,target,0.16875000000000007,5651.25
2026-01-16,2026-01-19,bear,9.75,0.7999999999999998,26050,26250,190.25,371.25,target,0.37125,6022.5
2026-01-22,2026-01-23,bear,16.55,3.05,25650,25850,183.45,712.5,target,0.7125,6735.0
2026-01-30,2026-02-03,bull,44.75000000000001,0.04999999999999999,25100,24900,155.25,3052.500000000001,target,3.052500000000001,9787.5
2026-02-06,2026-02-10,bear,6.649999999999999,0.1,26050,26250,193.35,191.24999999999994,target,0.19124999999999995,9978.75
2026-02-13,2026-02-17,bear,9.9,0.15,25850,26050,190.1,431.25,target,0.43125,10410.0
2026-02-20,2026-02-24,bear,15.450000000000001,0.04999999999999999,25900,26100,184.55,855.0,target,0.855,11265.0
2026-02-26,2026-02-27,bear,6.550000000000001,1.9,25950,26150,193.45,48.75,target,0.048749999999999995,11313.75
2026-03-06,2026-03-09,bear,37.1,4.949999999999999,24850,25050,162.9,2111.2500000000005,target,2.1112500000000005,13425.0
2026-03-13,2026-03-17,bear,36.3,0.0,23500,23650,113.7,2422.5,expiry,2.4225,15847.5
2026-03-20,2026-03-23,bear,51.95,4.9,23400,23600,148.05,3228.7500000000005,target,3.2287500000000002,19076.25
2026-03-25,2026-03-30,bull,37.29999999999998,163.39999999999998,23000,22850,112.70000000000002,-8752.500000000002,stop_loss,-8.752500000000001,10323.749999999998
2026-04-02,2026-04-07,bear,41.3,0.0,23050,23200,108.7,2797.5,expiry,2.7975,13121.249999999998
2026-04-09,2026-04-10,bull,34.05,10.25,23550,23400,115.95,1484.9999999999998,target,1.4849999999999997,14606.249999999998
2026-04-17,2026-04-21,bull,34.3,0.0,24100,23900,165.7,2272.5,target,2.2725,16878.75
2026-04-24,2026-04-28,bear,34.0,0.04999999999999999,24200,24400,166.0,2246.25,target,2.24625,19125.0
2026-04-30,2026-05-05,bear,30.15,0.05,24400,24600,169.85,1957.5,target,1.9574999999999998,21082.5
2026-05-08,2026-05-11,bull,30.049999999999997,92.55,23950,23750,169.95,-4987.5,stop_loss,-4.987500000000001,16095.0
2026-05-15,2026-05-19,bull,31.5,0.04999999999999999,23350,23150,168.5,2058.75,target,2.0587500000000003,18153.75
